Title,Author,First Publish Year,URL
Scholastik,Josef Pieper,1960,https://openlibrary.org/works/OL112229W
An interpretation of Christian ethics,Reinhold Niebuhr,1935,https://openlibrary.org/works/OL1176543W
The garden of Allah,Robert Smythe Hichens,1900,https://openlibrary.org/works/OL1252616W
Um casamento arranjado,Zana Kheiron,2019,https://openlibrary.org/works/OL35351151W
The Siren,Kiera Cass,2009,https://openlibrary.org/works/OL14991775W
Fragments d'un discours amoureux,"Roland Barthes, Rolland Barthes, Ba er te",1977,https://openlibrary.org/works/OL1374992W
The esoteric philosophy of love and marriage,Violet M. Firth (Dion Fortune),1924,https://openlibrary.org/works/OL114616W
Every day,David Levithan,2012,https://openlibrary.org/works/OL16617537W
They Both Die at the End,Adam Silvera,2017,https://openlibrary.org/works/OL19713513W
The Language of Thorns,"Leigh Bardugo, Carlos Loscertales",2017,https://openlibrary.org/works/OL17876066W
Novels (Cannery Row / East of Eden / Grapes of Wrath / Moon is Down / Of Mice and Men),John Steinbeck,1976,https://openlibrary.org/works/OL23165W
Life of the Beloved,Henri J. M. Nouwen,1992,https://openlibrary.org/works/OL1913411W
L'amour fou,André Breton,1937,https://openlibrary.org/works/OL74693W
"Le temps, ce grand sculpteur",Marguerite Yourcenar,1983,https://openlibrary.org/works/OL106840W
Lost,Gregory Maguire,2001,https://openlibrary.org/works/OL66229W
Remedia amoris,Ovid,1636,https://openlibrary.org/works/OL97771W
The Road Less Traveled,M. Scott Peck,1978,https://openlibrary.org/works/OL2868914W
"Alice in rapture, sort of",Phyllis Reynolds Naylor,1989,https://openlibrary.org/works/OL13445W
The book of life,Upton Sinclair,1921,https://openlibrary.org/works/OL115042W
Super sad true love story,"Gary Shteyngart, Adam Grupper, Ali Ahn",2001,https://openlibrary.org/works/OL15326463W
We'll Always Have Summer,Jenny Han,2011,https://openlibrary.org/works/OL16211977W
Creating love,"Bradshaw, John",1992,https://openlibrary.org/works/OL1645360W
Champion,"Marie Lu, Steven Kaplan, Mariel Stern",2013,https://openlibrary.org/works/OL17092593W
Already Home,Susan Mallery,2011,https://openlibrary.org/works/OL15691175W
The five love languages of children,"Gary D. Chapman, Ross Campbell",1997,https://openlibrary.org/works/OL1680331W
This Savage Song,V. E. Schwab,2016,https://openlibrary.org/works/OL17876107W
An ember in the ashes,Sabaa Tahir,2015,https://openlibrary.org/works/OL17786115W
Everything I Know About Love,Dolly Alderton,2018,https://openlibrary.org/works/OL20654212W
Ugly Love,Colleen Hoover,2014,https://openlibrary.org/works/OL20577143W
Euphorion,Vernon Lee,1882,https://openlibrary.org/works/OL45480W
The Beloved Invader,Eugenia Price,1965,https://openlibrary.org/works/OL81938W
Delirium,Lauren Oliver,2011,https://openlibrary.org/works/OL27432616W
The breast-plate of faith and love,"Preston, John",1631,https://openlibrary.org/works/OL5884569W
Corbacho,Alfonso Martínez de Toledo,1949,https://openlibrary.org/works/OL4556794W
"The shewings of Lady Julian of Norwich, recluse at Norwich, 1373","Julian of Norwich, Julia Bolton Holloway",1911,https://openlibrary.org/works/OL742097W
The Spinster Book,Myrtle Reed,1901,https://openlibrary.org/works/OL2345588W
Novels (Jane Eyre / Wuthering Heights),"Charlotte Brontë, Emily Brontë",1943,https://openlibrary.org/works/OL1095380W
Musse und Kult,Josef Pieper,1948,https://openlibrary.org/works/OL112228W
Alexis ou le Traité du vain combat,Marguerite Yourcenar,1971,https://openlibrary.org/works/OL106828W
What my mother doesn't know,Sonya Sones,2001,https://openlibrary.org/works/OL37977W
Aphrodite the beautiful,"Joan Holub, Suzanne Williams",2010,https://openlibrary.org/works/OL15038910W
Lotta på Bråkmakargatan,Astrid Lindgren,1962,https://openlibrary.org/works/OL14873023W
Phantom,Lisa Jane Smith,2011,https://openlibrary.org/works/OL16099563W
Blood on My Hands,Todd Strasser,2010,https://openlibrary.org/works/OL15672290W
The Crown (The Selection #5),Kiera Cass,2016,https://openlibrary.org/works/OL17356843W
The five love languages of teenagers,Gary D. Chapman,2000,https://openlibrary.org/works/OL1680332W
Ignite Me,Tahereh Mafi,2014,https://openlibrary.org/works/OL16813331W
Tales from a not-so-happy heartbreaker,Rachel Renée Russell,2013,https://openlibrary.org/works/OL17179797W
The Paris Mysteries,"James Patterson, Maxine Paetro",2013,https://openlibrary.org/works/OL19087058W
The ugly little boy,"Isaac Asimov, Robert Silverberg",1991,https://openlibrary.org/works/OL46195W
The Argonauts,Maggie Nelson,2015,https://openlibrary.org/works/OL19999589W
Love monster,Rachel Bright,2012,https://openlibrary.org/works/OL19710045W
Girlosophy,Anthea Paul,2000,https://openlibrary.org/works/OL15842990W
Truelove,Babette Cole,2000,https://openlibrary.org/works/OL1640777W
The old garden and other verses,Margaret Wade Campbell Deland,1886,https://openlibrary.org/works/OL2346151W
Mr. Louie Is Screwy!,Dan Gutman,2007,https://openlibrary.org/works/OL41378W
Smaragdgrün,"Kerstin Gier, Anthea Bell",2010,https://openlibrary.org/works/OL17844686W
Über das Ende der Zeit,Josef Pieper,1950,https://openlibrary.org/works/OL112227W
Evil and the God of love,John Harwood Hick,1966,https://openlibrary.org/works/OL3684486W
Talking back,bell hooks,1989,https://openlibrary.org/works/OL31121W
Let it snow,"John Green, Lauren Myracle, Maureen Johnson, Mariana Kohnert",2008,https://openlibrary.org/works/OL16071235W
Self-Love,"Robert Schuller, Robert Harold Schuller, R. Schuller",1920,https://openlibrary.org/works/OL8052510W
Purple Ronnie's Little Star Signs,Giles Andreae,2002,https://openlibrary.org/works/OL73218W
8 Rules of Love,Jay Shetty,2023,https://openlibrary.org/works/OL28800651W
Destination Unknown,Katherine Applegate,2001,https://openlibrary.org/works/OL27785W
Letters To Philip,Charlie W. Shedd,1968,https://openlibrary.org/works/OL275521W
Austenland,Shannon Hale,2007,https://openlibrary.org/works/OL5738588W
Some men are more perfect than others,Merle Shain,1973,https://openlibrary.org/works/OL4652514W
A don't sweat the small stuff treasury,Richard Carlson,1999,https://openlibrary.org/works/OL57950W
The Happiness Hypothesis,Jonathan Haidt,2005,https://openlibrary.org/works/OL5829273W
Sydney Omarr's Day-by-day Astrological Guide For The New Millenium,Sydney Omarr,1999,https://openlibrary.org/works/OL69493W
Sydney Omarr's Day-by-Day Astrological Guide for the New Millennium,Sydney Omarr,2000,https://openlibrary.org/works/OL69494W
Sydney Omarr's Day-by-Day Astrological Guide for the Year 2002,Sydney Omarr,2001,https://openlibrary.org/works/OL69495W
Sydney Omarr's Day-by-Day Astrological Guide for the Year 2003,Sydney Omarr,2002,https://openlibrary.org/works/OL69496W
Missing sisters,Gregory Maguire,1994,https://openlibrary.org/works/OL66223W
